,Name,Url,Stargazer_Count,Total Releases,Age
82,shuzheng/zheng,https://github.com/shuzheng/zheng,16218,0,5
83,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,15542,0,8
84,apache/shardingsphere,https://github.com/apache/shardingsphere,15503,46,6
85,openzipkin/zipkin,https://github.com/openzipkin/zipkin,15230,67,9
86,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,15118,0,7
87,lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,14918,9,5
88,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,14751,0,5
89,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,14612,13,9
90,Anuken/Mindustry,https://github.com/Anuken/Mindustry,14214,134,4
91,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,14199,0,5
92,hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14159,0,8
93,alibaba/ARouter,https://github.com/alibaba/ARouter,13718,16,5
94,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,13646,15,10
95,lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13560,0,7
96,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,13485,35,4
97,material-components/material-components-android,https://github.com/material-components/material-components-android,13471,49,5
98,medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,13469,157,10
99,YunaiV/SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs,13434,0,3
100,prestodb/presto,https://github.com/prestodb/presto,13275,0,9
101,doocs/leetcode,https://github.com/doocs/leetcode,13221,19,3
102,orhanobut/logger,https://github.com/orhanobut/logger,13194,16,7
103,justauth/JustAuth,https://github.com/justauth/JustAuth,13170,45,3
104,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,13067,0,7
105,android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,12977,49,4
106,Tencent/APIJSON,https://github.com/Tencent/APIJSON,12972,85,5
107,Curzibn/Luban,https://github.com/Curzibn/Luban,12862,6,5
108,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,12800,57,7
109,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,12780,0,10
